Code,Registration number,Brand name,Strength,Presentation,Form,Agent,Manufacturer,Country,Public Price LL,Pharmacist Margin,Stratum,public price Decision 119/1 20230126,Responsible Party Name,Responsible Party Country,Exch_Dates
9705,179817/1,ACTOSMET,15mg/850mg,56,"Tablet, film coated",Abela Frères S.A.L.,"Daito Pharmaceutical Co Ltd, Toyama, Japan, under licensed from Takeda Pharmaceuticals International AG, Switzerland",Japan,"3,101,588",23.08,B,34.65,The Arab Pharmaceutical Manufacturing PSC,Jordan,8/11/2026
2023,26460,ACTRAPID,100IU/ml,10ml,Vial,Mersaco,Novo Nordisk AS,Denmark,"752,552",23.08,A2,8.41,,,8/11/2026
8497,144814/1,ACTRAPID,100IU/ml,10ml,Vial,Mersaco,"Novo Nordisk Production SAS, Chartres",France,"752,552",23.08,A2,8.41,Novo Nordisk AS,Denmark,8/11/2026
6060,24959/07,ACUPAN,,5,Injectable solution,Pharmamedic S.A.R.L.,Biocodex,France,"365,525",23.08,A1,4.08,Biocodex,France,8/11/2026
6480,168203/10,ACURIL,5mg,28,Tablet,Qualipharm,Bluepharma Industria Farmaceutica SA,Portugal,"614,136",23.08,A1,6.86,Bluepharma Industria Farmaceutica SA,Portugal,8/11/2026
6481,168202/10,ACURIL,2.5mg,28,Tablet,Qualipharm,Bluepharma Industria Farmaceutica SA,Portugal,"497,222",23.08,A1,5.56,Bluepharma Industria Farmaceutica SA,Portugal,8/11/2026
7244,96648/12,ACURIL,10mg,28,Tablet,Qualipharm,Bluepharma Industria Farmaceutica SA,Portugal,"810,337",23.08,A2,9.05,Bluepharma Industria Farmaceutica SA,Portugal,8/11/2026
11585,106523/1,ADALIREL,40mg,box of 0.8ml in PFS fo subcutaneous use,Solution for injection,Levant Pulse SARL,Reliance Life Sciences pvt Ltd,India,"3,628,375",23.08,B,40.54,Reliance Life Sciences pvt Ltd,India,8/11/2026
7970,119414/1,ADCETRIS,50mg,1Vial,Powder for concentrate for solution for infusion,Century Pharma SAL,Takeda Austria GmbH,Austria,"298,266,862",2.44,E2,"3,332.59",Takeda Pharma AS,Denmark,8/11/2026
12074,106324/1,ADDAVEN,,,Concentrate for solution for infusion,Benta Trading Co s.a.l.,HP Halden Pharma AS,Norway,"4,065,124",23.08,B,45.42,Fresenius Kabi Deutschland GmbH,Germany,8/11/2026
4468,24279,ADELPHAN ESIDREX,,30,Tablet,Mephico S.A.L.,Mephico SAL,Lebanon,"371,157",23.08,A1,4.15,,,8/11/2026
9590,93318/1,ADENURIC,80mg,28,"Tablet, film coated scored",Droguerie de l'Union,Fully manufactured by Algorithm S.A.L. under license from Teijin Pharma Ltd Japan,Lebanon,"2,127,111",23.08,B,23.77,,,8/11/2026
9602,107818/1,ADENURIC,120mg,28,"Tablet, film coated",Droguerie de l'Union,Fully manufactured by Algorithm S.A.L. under license from Teijin Pharma Ltd Japan,Lebanon,"2,184,704",23.08,B,24.41,,,8/11/2026
10163,79719/1,ADENURIC,40mg,28,"Tablet, film coated",Droguerie de l'Union,Fully manufactured by Algorithm S.A.L. under license from Teijin Pharma Ltd Japan,Lebanon,"1,687,866",23.08,B,18.86,,,8/11/2026
12136,55423/1,ADEX,1.5mg,box of 30,"Tablet, prolonged release",Medis Pharm Drugstore,Les Laboratoires Medis,Tunisia,"296,989",23.08,A1,3.32,Les Laboratoires Medis,Tunisia,8/11/2026
1341,208895/03,ADOL,250mg/5ml,135ml,"Suspension, alcohol free",Pharmanet Drugstore S.A.R.L.,Julphar,United Arab Emirates,"192,169",23.08,A1,2.15,,,8/11/2026
3371,78843/98,ADOL,125mg,10,Suppository,Pharmanet Drugstore S.A.R.L.,Julphar,United Arab Emirates,"107,507",23.08,A1,1.20,,,8/11/2026
3434,78844/98,ADOL,250mg,10,Suppository,Pharmanet Drugstore S.A.R.L.,Julphar,United Arab Emirates,"124,977",23.08,A1,1.40,,,8/11/2026
3436,78845/98,ADOL,500mg,10,Suppository,Pharmanet Drugstore S.A.R.L.,Julphar,United Arab Emirates,"131,697",23.08,A1,1.47,,,8/11/2026
